month,PM2.5,PM10,SO2,NO2,CO,O3
4,13,77,10,7,200,86
4,12,48,10,7,300,90
4,19,34,9,7,200,95
4,4,51,8,6,200,100
4,15,40,8,7,200,100
4,13,25,9,7,200,99
4,7,23,9,8,200,98
4,12,33,9,12,200,89
4,9,44,10,14,200,80
4,7,14,9,19,200,73
4,8,40,9,26,300,56
4,12,40,8,22,200,56
4,9,27,9,23,200,54
4,9,18,9,26,200,50
4,7,22,9,21,200,58
4,6,7,9,19,200,61
4,3,16,9,22,200,56
4,10,18,9,27,200,50
4,6,24,10,18,200,61
4,3,35,10,11,200,71
4,5,24,10,23,200,57
4,3,5,10,21,200,63
4,3,6,11,12,200,77
4,8,10,11,10,200,81
4,11,11,10,8,200,88
4,4,8,11,8,200,93
4,11,15,10,7,200,98
4,13,13,9,7,200,102
4,3,26,9,7,200,102
4,6,36,8,9,200,97
4,5,31,9,10,200,94
4,4,29,10,12,200,88
4,11,24,9,15,200,82
4,7,55,9,14,200,80
4,7,47,9,18,200,74
4,6,44,9,18,200,71
4,9,26,9,18,200,72
4,9,35,9,22,200,66
4,5,33,8,23,200,64
4,5,26,2,18,200,69
4,9,23,2,19,200,65
4,3,24,2,11,200,77
4,6,23,2,15,200,70
4,4,82,2,37,200,36
4,19,19,2,39,300,35
4,17,33,3,26,300,54
4,12,12,2,11,200,80
4,4,7,2,9,200,86
4,3,5,2,7,200,92
4,9,9,2,8,300,92
4,6,16,2,10,300,98
4,14,57,2,12,300,116
4,21,76,2,15,300,102
4,22,71,2,13,300,102
4,28,80,2,17,300,100
4,27,104,2,16,300,103
4,32,99,2,20,300,100
4,34,105,2,23,300,91
4,33,98,3,27,400,80
4,41,111,5,29,400,69
4,39,88,5,28,400,64
4,42,86,5,29,400,59
4,45,81,7,25,500,62
4,48,82,5,28,500,49
4,51,101,5,45,500,22
4,49,104,3,63,600,2
4,53,138,5,65,600,2
4,54,148,5,59,600,4
4,60,157,6,53,600,12
4,71,173,9,54,700,17
4,78,154,11,50,700,37
4,75,126,10,48,700,55
4,76,115,7,56,700,56
4,81,139,10,51,700,78
4,89,119,16,27,600,125
4,74,74,13,15,500,145
4,79,102,13,16,500,147
4,82,103,14,17,500,144
4,78,117,12,19,500,137
4,71,127,12,26,600,115
4,79,135,13,26,600,106
4,83,131,13,30,700,97
4,95,145,16,27,700,105
4,101,142,19,24,700,101
4,105,140,18,26,800,88
4,114,147,17,32,900,67
4,121,154,15,39,1000,46
4,121,121,13,60,900,22
4,116,217,11,73,1000,2
4,137,171,9,69,1000,2
4,109,147,11,63,900,6
4,104,131,17,63,900,15
4,100,140,17,53,900,40
4,136,214,26,34,1000,98
4,165,196,33,33,1200,117
4,154,175,28,25,1100,148
4,156,197,26,27,1000,163
4,152,161,24,25,1000,168
4,152,183,24,27,1000,172
4,154,223,30,37,1300,142
4,114,187,23,40,1100,112
4,64,131,16,28,700,107
4,55,70,14,29,700,93
4,49,65,16,35,900,71
4,46,68,23,42,1100,53
4,40,52,24,42,1300,52
4,42,78,26,41,1400,56
4,55,68,29,43,1600,58
4,49,53,33,50,2000,40
4,62,108,45,51,2300,48
4,76,116,46,52,2400,50
4,87,118,35,45,2100,58
4,97,131,42,52,2200,55
4,103,108,53,51,2400,58
4,97,117,56,68,2500,36
4,111,180,60,68,2800,36
4,133,177,57,65,2600,47
4,143,188,54,68,2700,55
4,164,222,45,58,2300,81
4,194,230,37,52,2100,97
4,206,257,31,40,1800,117
4,217,255,26,31,1600,121
4,214,231,25,32,1600,118
4,210,238,23,33,1500,104
4,225,229,23,35,1600,98
4,231,231,24,56,1900,63
4,247,251,22,62,2100,46
4,250,256,20,77,2300,19
4,253,256,18,90,2400,2
4,240,244,18,96,2500,2
4,240,279,14,90,2600,2
4,241,308,2,90,2600,2
4,233,277,2,91,2600,2
4,226,323,2,80,2700,2
4,222,266,2,80,2600,2
4,194,231,2,80,2400,2
4,65,65,2,34,600,42
4,32,140,2,18,500,67
4,22,122,2,14,500,79
4,24,94,2,12,400,85
4,24,65,2,11,300,91
4,19,50,2,8,200,100
4,9,92,2,8,200,102
4,17,94,2,9,200,104
4,16,110,2,8,200,107
4,13,46,2,10,200,105
4,6,34,2,13,200,101
4,3,34,2,20,200,86
4,9,37,3,23,300,79
4,5,20,2,24,200,73
4,3,17,3,19,200,81
4,12,12,3,17,200,85
4,3,5,3,21,200,80
4,5,19,2,18,200,79
4,9,12,2,21,200,72
4,5,9,3,21,100,70
4,11,11,3,28,200,60
4,5,15,3,30,200,60
4,3,60,3,40,200,42
4,12,96,4,53,300,21
4,11,11,4,65,500,16
4,3,19,3,19,200,86
4,9,33,3,12,300,95
4,21,77,3,22,300,91
4,26,66,2,14,200,107
4,21,78,3,13,200,112
4,20,106,2,13,200,111
4,20,121,4,17,200,110
4,28,156,5,23,300,107
4,29,210,5,24,300,100
4,26,154,6,29,300,90
4,34,227,8,36,400,78
4,128,286,15,35,500,81
4,76,239,19,37,500,72
4,72,212,23,42,600,54
4,60,187,23,46,600,41
4,62,181,20,54,600,21
4,67,184,19,64,700,7
4,83,177,16,67,700,2
4,63,185,10,60,800,2
4,70,170,11,60,1000,2
4,87,160,21,64,800,12
4,103,192,22,65,900,23
4,89,174,17,68,900,28
4,112,112,15,70,900,46
4,98,98,13,53,600,76
4,232,232,12,47,600,98
4,98,199,25,38,1200,108
4,89,325,20,36,900,99
4,89,313,12,30,500,81
4,73,215,12,25,500,84
4,66,219,17,32,600,69
4,55,144,17,34,700,60
4,45,133,11,33,600,61
4,38,124,10,32,500,60
4,38,120,11,35,500,54
4,35,127,10,32,600,60
4,32,101,11,33,600,52
4,28,119,10,51,600,26
4,34,116,9,60,600,10
4,40,122,12,54,700,21
4,51,103,15,38,700,50
4,42,78,11,33,500,61
4,24,164,7,22,400,85
4,34,34,6,20,400,95
4,42,119,6,20,400,102
4,53,134,10,24,300,107
4,63,149,12,35,400,97
4,69,153,14,44,500,89
4,58,170,12,43,400,75
4,56,149,14,45,400,59
4,55,138,14,48,500,45
4,56,124,13,54,500,33
4,54,128,12,51,400,34
4,61,122,11,58,400,21
4,64,125,12,60,400,14
4,67,118,10,63,400,6
4,65,118,4,59,500,2
4,71,99,4,50,400,10
4,68,80,4,49,400,10
4,66,72,4,52,500,4
4,75,85,5,48,600,12
4,79,91,8,42,600,21
4,76,85,4,41,600,15
4,80,80,3,39,600,21
4,85,85,9,38,700,38
4,94,94,11,34,600,55
4,98,98,12,33,500,68
4,105,105,15,37,500,76
4,97,97,16,40,500,94
4,84,91,10,42,500,98
4,44,108,8,47,700,85
4,74,87,7,46,600,74
4,71,101,6,52,600,58
4,70,106,4,52,700,49
4,72,109,4,50,700,46
4,89,122,5,59,800,36
4,96,124,5,58,800,32
4,97,131,5,64,800,21
4,107,135,5,62,800,26
4,117,141,6,65,800,20
4,116,157,5,70,1000,6
4,126,158,3,60,1200,2
4,134,167,3,57,1300,2
4,152,174,3,63,1300,2
4,162,191,5,63,1300,4
4,179,205,8,61,1400,14
4,220,240,17,75,1600,39
4,210,219,20,70,1400,72
4,189,205,16,63,1200,100
4,143,188,10,49,1000,118
4,64,122,5,25,500,130
4,16,96,2,11,200,132
4,13,79,2,12,200,128
4,11,61,2,15,200,119
4,6,65,2,18,300,112
4,9,76,2,19,200,106
4,15,83,2,30,300,87
4,20,109,2,24,200,93
4,22,114,2,21,200,95
4,21,119,2,38,200,69
4,27,138,2,54,300,42
4,30,140,2,31,200,71
4,57,202,2,25,200,80
4,51,230,2,17,200,90
4,33,179,2,19,200,81
4,23,140,2,28,300,63
4,13,63,2,29,300,60
4,12,41,2,26,300,67
4,9,40,2,20,300,78
4,9,30,3,16,300,93
4,3,6,2,13,200,103
4,5,5,2,14,200,109
4,8,8,2,12,200,124
4,19,44,2,16,300,125
4,27,101,2,17,300,135
4,29,116,2,15,200,137
4,29,107,2,16,300,133
4,31,129,5,23,500,128
4,40,196,11,29,800,108
4,32,135,9,30,700,86
4,21,105,5,31,500,80
4,33,60,4,25,400,80
4,30,110,7,31,600,64
4,17,54,9,31,700,57
4,25,75,7,54,800,20
4,29,80,9,62,700,3
4,63,63,10,46,500,24
4,40,52,13,48,1200,15
4,42,80,14,59,1300,2
4,52,81,17,58,1200,2
4,72,87,31,57,1500,11
4,59,85,33,58,1600,21
4,94,94,33,57,1600,29
4,56,90,33,54,1500,41
4,58,103,32,56,1600,49
4,67,113,31,59,1600,50
4,78,167,32,60,1600,66
4,83,156,29,46,1400,103
4,76,179,24,34,1000,128
4,76,187,23,34,900,134
4,79,174,22,31,800,144
4,82,163,22,51,1100,99
4,94,180,24,93,1600,17
4,88,190,19,80,1300,22
4,59,199,10,20,400,71
4,53,100,8,13,400,79
4,34,88,5,14,300,70
4,24,50,4,22,300,50
4,20,36,4,28,300,43
4,16,31,4,24,300,41
4,19,36,3,28,400,26
4,19,38,3,28,300,37
4,24,51,4,31,300,23
4,28,61,4,34,400,27
4,73,258,6,24,300,42
4,105,472,7,17,400,52
4,64,220,6,11,300,69
4,43,127,5,10,400,75
4,35,69,3,8,300,82
4,19,43,4,6,300,89
4,16,29,2,6,300,89
4,16,42,3,6,200,89
4,15,19,3,5,200,90
4,13,26,3,7,200,89
4,7,32,2,7,200,88
4,7,24,2,10,200,84
4,6,27,2,9,200,82
4,8,27,3,11,200,78
4,9,22,3,10,200,80
4,8,25,3,21,200,64
4,12,29,3,19,200,67
4,9,28,3,15,200,77
4,13,29,2,12,200,82
4,11,30,2,11,200,85
4,11,21,2,9,200,87
4,14,25,2,11,200,87
4,4,24,2,14,300,83
4,12,33,3,10,300,89
4,13,21,2,7,300,96
4,18,44,2,6,200,97
4,13,82,2,6,200,97
4,16,86,2,6,200,99
4,8,26,2,5,300,103
4,9,26,2,5,200,104
4,18,18,2,5,200,105
4,22,22,2,5,200,103
4,7,10,2,6,200,101
4,8,20,2,8,200,97
4,8,24,2,16,300,85
4,11,26,2,18,300,81
4,10,49,2,19,300,77
4,16,112,3,10,300,83
4,13,34,2,10,300,80
4,6,6,2,14,200,80
4,6,23,2,15,200,76
4,11,27,2,25,300,53
4,15,25,3,24,300,56
4,12,27,5,17,400,62
4,13,27,4,22,300,55
4,13,27,4,29,300,43
4,10,26,4,22,300,61
4,14,38,3,18,300,66
4,16,34,2,14,300,74
4,16,34,3,10,300,83
4,16,49,3,8,300,88
4,13,30,3,5,300,98
4,17,40,2,5,200,104
4,12,17,2,4,200,108
4,9,16,2,5,200,113
4,10,18,2,5,200,120
4,12,12,3,6,200,120
4,11,17,2,11,300,113
4,10,29,2,20,300,98
4,20,55,2,22,300,95
4,23,62,4,27,300,85
4,26,54,5,34,400,72
4,28,59,5,43,400,56
4,30,63,5,38,400,60
4,29,57,6,33,400,62
4,37,75,6,44,400,43
4,43,70,14,37,300,50
4,54,93,8,69,600,2
4,73,126,6,61,1400,2
4,75,105,9,58,2000,2
4,75,106,14,59,2200,3
4,74,105,18,59,2100,5
4,84,119,25,57,2100,12
4,89,104,37,49,1600,36
4,79,103,30,52,1500,32
4,89,106,32,51,1600,33
4,90,122,39,47,1700,45
4,88,106,34,45,1800,54
4,88,114,25,48,1800,47
4,88,104,21,53,1800,40
4,88,103,22,56,1800,35
4,76,122,20,52,1200,39
4,70,93,18,47,800,44
4,76,91,22,49,1100,37
4,74,80,19,45,1100,38
4,73,74,17,41,1000,40
4,76,89,13,44,1100,29
4,87,94,11,49,1100,15
4,99,102,12,59,1300,2
4,68,68,7,32,700,34
4,51,51,6,23,600,49
4,56,56,6,26,600,44
4,56,56,6,37,700,27
4,56,56,8,30,700,41
4,63,69,12,30,700,43
4,74,90,16,31,900,49
4,92,223,18,30,1000,69
4,99,103,15,30,1000,90
4,86,86,12,26,900,111
4,44,54,5,15,500,118
4,41,45,3,14,400,129
4,47,47,3,19,400,138
4,44,44,3,25,400,133
4,52,70,3,32,500,130
4,84,219,5,35,600,136
4,75,158,6,40,700,112
4,71,145,6,36,600,113
4,62,119,7,37,600,103
4,70,101,8,45,600,85
4,83,158,8,65,800,46
4,92,188,7,84,900,5
4,94,225,6,86,1000,2
4,76,272,5,90,900,2
4,89,142,4,73,1000,2
4,102,156,4,71,1200,2
4,153,189,5,65,1800,2
4,193,215,13,69,2200,4
4,209,222,22,72,2100,21
4,209,217,26,69,1900,51
4,207,207,22,75,1700,71
4,177,177,13,72,1500,104
4,97,97,5,39,600,137
4,65,65,5,24,400,153
4,79,144,4,19,400,149
4,104,305,2,13,300,139
4,78,221,2,15,300,139
4,68,186,2,18,300,121
4,39,89,2,17,300,102
4,31,110,2,14,300,101
4,44,141,2,16,200,96
4,53,148,2,15,200,95
4,58,187,2,12,100,96
4,56,162,2,14,100,91
4,49,120,2,19,100,85
4,40,111,2,14,200,91
4,45,112,2,16,200,83
4,38,89,2,17,200,85
4,35,90,2,11,200,95
4,32,82,2,13,200,94
4,47,95,2,10,200,101
4,55,147,2,11,200,106
4,45,130,2,10,200,111
4,38,110,2,8,200,117
4,42,106,2,9,300,116
4,29,74,2,7,200,119
4,25,83,2,7,100,118
4,35,85,2,8,200,119
4,33,56,2,9,200,118
4,24,43,2,9,200,117
4,23,39,2,11,200,112
4,27,48,2,17,200,100
4,17,216,2,35,300,67
4,34,107,2,52,800,39
4,24,35,2,63,400,28
4,26,26,2,66,400,26
4,28,43,2,56,300,34
4,22,43,2,58,300,29
4,18,37,2,44,200,41
4,16,35,2,40,200,45
4,16,39,2,26,100,60
4,18,40,2,25,200,61
4,19,43,2,30,200,53
4,19,48,2,32,200,51
4,11,39,2,24,200,63
4,16,33,2,16,200,77
4,12,28,2,13,200,84
4,24,24,2,11,200,90
4,15,15,2,10,200,98
4,17,24,2,13,200,102
4,24,35,2,15,200,106
4,19,49,3,16,200,113
4,32,62,3,19,300,117
4,34,60,4,18,200,105
4,30,57,4,23,300,95
4,36,61,5,33,400,79
4,39,79,4,44,500,56
4,44,100,9,52,600,36
4,40,80,12,42,500,39
4,42,70,10,51,500,26
4,44,92,11,61,500,9
4,56,86,17,56,800,10
4,70,109,22,54,1100,8
4,55,93,10,61,900,2
4,56,101,10,56,900,2
4,47,103,10,52,900,2
4,47,83,12,50,800,2
4,62,95,20,51,800,9
4,71,97,23,50,900,19
4,75,101,24,51,900,27
4,85,100,26,48,900,46
4,92,117,24,43,700,70
4,87,142,23,28,600,111
4,103,157,29,25,700,133
4,119,166,32,26,700,148
4,146,206,40,29,900,170
4,150,211,44,22,900,198
4,130,221,41,26,1200,185
4,134,188,37,29,1400,175
4,118,166,24,32,1100,151
4,108,146,19,31,1100,129
4,88,129,15,36,1000,95
4,68,103,14,27,800,91
4,54,92,15,22,700,88
4,49,98,15,19,500,87
4,47,86,11,18,500,83
4,50,101,9,20,500,77
4,64,84,8,21,500,67
4,73,82,8,26,600,57
4,76,87,10,35,700,44
4,80,95,14,33,900,49
4,92,110,20,35,900,51
4,105,187,23,35,900,60
4,108,126,24,37,900,74
4,132,155,34,30,1100,115
4,154,154,39,25,1300,160
4,123,131,24,20,900,175
4,99,109,12,16,600,180
4,80,108,6,15,500,181
4,74,99,5,15,400,167
4,43,81,5,20,500,165
4,45,107,6,21,500,166
4,54,123,6,23,500,153
4,90,264,11,38,1000,122
4,154,210,15,38,1100,118
4,124,150,13,30,900,119
4,88,99,15,30,1000,98
4,78,110,19,36,1400,77
4,76,101,23,32,1600,86
4,72,99,30,33,1700,84
4,69,101,40,39,2000,67
4,68,99,45,42,2200,51
4,62,89,44,43,2100,46
4,78,139,53,51,2700,37
4,71,126,53,55,2800,37
4,68,105,46,48,2200,49
4,64,109,44,39,1800,66
4,63,101,38,34,1600,81
4,74,106,40,37,1900,86
4,78,130,41,36,1800,102
4,76,126,38,32,1400,127
4,79,112,30,29,1100,145
4,76,97,18,26,800,147
4,65,95,12,24,600,152
4,65,87,13,32,700,148
4,66,78,12,30,700,153
4,58,84,11,34,700,145
4,59,73,10,39,700,126
4,53,54,9,36,600,124
4,64,112,12,45,800,99
4,74,86,14,48,900,86
4,78,78,12,57,800,70
4,69,94,11,41,800,95
4,80,94,10,40,1000,89
4,86,86,24,56,1600,41
4,87,87,30,47,1700,49
4,69,75,24,39,1300,65
4,73,77,24,43,1300,57
4,73,106,16,52,1100,50
4,89,99,9,53,1400,45
4,78,78,11,40,1200,76
4,77,77,9,34,900,110
4,84,84,11,37,900,99
4,88,88,10,36,1000,102
4,92,92,8,32,900,104
4,93,93,7,42,1100,82
4,97,97,7,54,1100,75
4,95,95,8,45,1100,139
4,111,114,5,71,1400,57
4,126,126,3,69,1300,42
4,127,127,3,67,1400,26
4,124,124,2,79,1500,2
4,122,122,2,76,1500,2
4,137,137,2,74,1400,2
4,144,144,2,64,1300,6
4,138,138,2,53,1000,17
4,124,124,2,48,1000,22
4,115,115,2,42,900,30
4,109,109,2,61,1000,4
4,116,116,2,64,1100,2
4,112,118,5,59,1000,21
4,107,141,10,50,1000,48
4,102,102,19,44,1300,80
4,90,99,25,38,1500,114
4,80,103,19,32,1200,136
4,89,107,17,28,1100,170
4,97,105,15,28,1000,208
4,90,105,8,24,800,220
4,66,81,5,20,600,209
4,55,61,4,19,500,205
4,53,72,4,18,500,190
4,55,79,7,25,600,172
4,47,125,7,40,800,121
4,55,106,5,46,800,92
4,45,63,6,56,800,65
4,45,63,7,57,900,52
4,37,48,6,57,600,47
4,37,48,7,58,500,35
4,33,40,7,48,500,44
4,30,37,7,52,600,39
4,34,34,8,43,500,36
4,42,42,11,47,600,34
4,51,58,17,52,1200,27
4,64,79,28,53,2000,29
4,77,98,32,47,1900,41
4,94,108,31,44,1500,55
4,117,127,31,41,1800,75
4,144,160,33,37,1900,109
4,173,173,32,35,1900,142
4,189,281,30,32,1700,186
4,195,195,28,27,1400,226
4,166,166,23,23,1100,238
4,175,175,23,30,1300,227
4,205,205,17,39,1500,194
4,184,184,21,42,1700,183
4,190,190,14,54,1700,140
4,203,203,10,72,1900,77
4,212,212,9,100,2100,30
4,226,226,9,73,2000,67
4,238,238,7,103,2200,6
4,251,251,5,101,2000,2
4,232,232,6,73,1800,40
4,214,214,4,72,1700,27
4,216,216,3,90,1700,2
4,216,216,3,97,1800,2
4,215,215,2,96,1800,2
4,208,208,4,88,1700,6
4,194,194,9,66,1600,41
4,181,181,15,52,1500,82
4,149,149,20,32,1300,135
4,133,133,18,23,1300,185
4,136,136,17,26,1200,212
4,145,145,16,29,1300,240
4,162,162,14,28,1100,281
4,115,154,12,21,900,271
4,86,96,10,17,700,243
4,78,95,11,16,700,232
4,97,212,15,24,1200,247
4,111,160,12,25,1000,192
4,112,117,10,24,1000,157
4,129,129,10,28,1100,133
4,143,143,10,28,1100,118
4,163,163,10,25,1200,123
5,176,176,11,24,1200,133
5,175,175,12,23,1300,136
5,165,165,12,19,1100,129
5,171,171,13,23,1500,112
5,207,207,14,35,1900,54
5,201,201,12,41,2300,37
5,194,194,20,37,2700,64
5,185,185,37,30,2700,94
5,190,190,46,32,2800,101
5,191,191,49,34,2800,114
5,204,204,48,36,2800,128
5,210,210,47,31,3000,175
5,225,225,45,31,3000,212
5,224,224,42,29,2700,247
5,226,226,36,26,2300,277
5,209,209,32,21,2000,292
5,203,203,28,24,1900,289
5,192,192,23,34,2300,256
5,229,229,20,39,2700,211
5,245,245,18,42,2900,167
5,222,222,19,50,2300,108
5,105,105,16,41,1400,96
5,61,61,12,26,700,98
5,93,93,9,24,1100,124
5,92,92,7,20,800,106
5,45,45,6,14,200,79
5,35,72,4,7,200,98
5,21,21,3,7,200,97
5,22,36,3,7,200,101
5,27,66,2,8,200,101
5,47,113,2,9,200,96
5,82,250,2,9,200,87
5,75,167,2,11,200,85
5,26,76,2,12,300,89
5,26,55,2,14,300,79
5,27,36,2,14,300,73
5,33,57,2,12,300,70
5,32,49,2,12,300,64
5,30,43,2,13,300,58
5,53,86,2,15,300,52
5,63,113,2,14,200,50
5,41,77,2,14,300,51
5,55,113,2,19,300,35
5,51,82,2,30,400,20
5,57,97,2,32,400,18
5,51,86,2,28,300,26
5,39,73,2,25,300,34
5,49,91,2,41,400,4
5,45,70,2,37,300,9
5,38,77,2,42,300,2
5,37,71,2,34,500,2
5,26,26,2,34,400,14
5,12,18,2,33,400,35
5,17,54,3,36,700,33
5,19,76,4,26,400,51
5,15,22,2,18,300,69
5,17,23,2,18,300,86
5,9,9,2,15,200,103
5,24,24,2,14,200,115
5,15,33,2,14,200,117
5,3,41,2,14,200,115
5,17,85,2,15,200,112
5,15,88,2,15,200,110
5,15,87,2,17,200,109
5,12,85,2,20,200,103
5,20,61,2,23,200,99
5,14,57,2,27,300,92
5,11,51,2,35,300,76
5,11,53,2,52,300,50
5,16,87,2,72,600,14
5,23,85,2,81,800,2
5,36,89,2,76,900,2
5,28,64,2,70,900,2
5,37,37,2,78,700,2
5,16,71,2,76,400,2
5,30,35,2,71,500,2
5,10,20,3,74,400,2
5,3,56,4,63,400,9
5,20,89,5,56,500,22
5,31,68,6,56,700,23
5,16,43,4,47,500,43
5,17,35,4,49,500,58
5,28,28,4,48,500,78
5,21,27,2,33,300,106
5,11,48,3,28,300,128
5,26,39,4,26,300,140
5,17,43,5,28,500,159
5,17,53,6,29,400,154
5,27,61,7,29,500,159
5,39,74,7,44,900,131
5,33,81,10,58,800,88
5,36,52,7,68,800,52
5,28,28,6,72,700,39
5,34,77,9,94,1100,2
5,33,63,9,89,1000,2
5,39,86,11,77,600,6
5,24,30,8,50,400,38
5,16,19,7,39,400,55
5,21,31,10,48,600,41
5,20,49,12,64,700,16
5,31,49,24,52,1500,39
5,33,57,24,58,1500,28
5,40,56,29,43,1700,59
5,36,70,25,32,1300,83
5,35,55,23,28,1100,93
5,47,59,22,27,1100,105
5,57,69,20,25,900,122
5,56,75,18,23,900,141
5,56,73,17,29,1000,142
5,67,84,18,31,1100,139
5,68,90,17,29,1100,145
5,71,96,15,35,1200,136
5,70,111,14,37,1300,131
5,80,117,11,48,1400,96
5,59,59,6,41,800,78
5,51,206,3,30,500,84
5,144,507,2,8,100,110
5,236,642,2,9,100,103
5,309,827,2,9,100,89
5,314,834,2,8,100,83
5,210,575,2,7,100,87
5,87,232,2,6,100,93
5,42,98,2,8,100,88
5,28,57,2,8,100,89
5,20,58,2,13,200,81
5,20,47,2,11,200,84
5,22,34,2,10,200,88
5,26,29,2,8,200,92
5,41,41,2,9,200,95
5,32,32,2,10,200,98
5,23,23,2,11,200,100
5,39,39,2,10,200,102
5,5,25,2,15,200,96
5,15,15,2,15,200,98
5,13,15,2,17,200,93
5,12,12,2,13,200,95
5,8,13,2,17,300,85
5,22,27,2,24,300,72
5,10,28,2,32,300,59
5,7,14,2,24,200,70
5,13,23,2,21,200,75
5,6,17,2,33,200,58
5,11,37,2,32,200,58
5,12,23,2,34,100,51
5,9,21,2,43,200,40
5,11,37,2,49,200,28
5,9,65,2,59,200,10
5,14,26,3,52,300,16
5,19,36,4,41,300,34
5,15,30,5,25,300,61
5,6,29,3,11,200,87
5,6,20,2,7,200,104
5,20,20,2,9,200,109
5,8,8,2,11,200,118
5,11,15,2,13,200,126
5,39,39,2,14,200,134
5,53,53,2,14,200,151
5,37,44,2,13,200,148
5,17,43,2,14,200,144
5,20,47,2,16,200,140
5,34,50,4,27,300,110
5,41,75,8,38,500,81
5,43,71,12,46,700,49
5,82,82,12,49,600,45
5,45,78,12,46,600,43
5,48,78,12,50,700,29
5,59,80,15,48,900,20
5,60,89,13,53,800,11
5,52,88,9,61,900,2
5,51,76,8,62,900,2
5,53,96,12,57,1100,3
5,78,99,15,55,1200,5
5,113,113,20,55,1100,19
5,88,100,24,56,1300,34
5,100,100,30,52,1100,61
5,74,92,27,21,700,122
5,70,76,26,17,700,142
5,59,68,19,11,600,156
5,46,88,14,11,600,165
5,51,94,16,10,700,172
5,76,90,25,15,700,177
5,66,79,21,14,800,176
5,48,63,13,12,600,159
5,41,91,10,13,500,145
5,32,56,10,12,400,131
5,71,71,7,15,400,110
5,34,55,5,16,400,96
5,28,50,6,16,400,85
5,28,46,5,17,400,76
5,32,38,5,16,400,71
5,32,42,5,17,500,67
5,36,39,5,20,500,54
5,39,52,4,30,500,37
5,49,64,6,53,700,6
5,63,63,8,52,800,15
5,67,107,9,41,600,35
5,52,72,10,31,500,57
5,51,67,10,27,500,75
5,43,91,10,19,600,103
5,111,111,6,15,500,88
5,33,64,2,14,400,77
5,29,59,2,12,400,74
5,24,24,2,10,400,82
5,24,24,3,13,400,86
5,34,34,3,19,400,83
5,26,38,3,26,500,67
5,28,46,2,35,600,45
5,34,44,2,46,700,23
5,35,42,2,52,800,12
5,31,49,2,56,800,2
5,36,37,2,62,1000,2
5,44,56,2,58,900,2
5,46,55,2,55,900,2
5,44,44,2,52,800,2
5,39,39,2,50,700,2
5,35,35,2,47,500,2
5,28,36,2,42,500,2
5,38,58,4,32,500,24
5,52,86,6,30,600,38
5,50,53,6,26,500,65
5,42,42,5,19,500,101
5,43,43,4,17,500,118
5,44,44,3,14,400,135
5,44,47,4,15,400,155
5,52,58,4,14,400,184
5,67,67,4,14,400,183
5,40,74,4,14,400,178
5,50,101,4,16,500,176
5,48,63,5,17,500,168
5,48,110,7,20,600,158
5,68,122,13,20,700,161
5,65,96,11,22,700,156
5,73,113,11,28,800,141
5,89,127,9,24,700,143
5,84,95,9,22,700,129
5,91,105,16,21,700,110
5,112,127,18,20,800,113
5,133,133,15,19,900,108
5,141,141,14,17,1000,114
5,140,140,13,21,900,109
5,141,141,13,24,900,104
5,143,143,14,24,1000,102
5,161,161,18,25,1100,110
5,169,169,18,23,1100,133
5,176,176,18,19,1100,155
5,187,187,20,16,1200,178
5,181,181,18,17,1200,191
5,178,178,16,18,1300,193
5,184,184,17,20,1300,192
5,173,173,20,20,1300,195
5,143,143,14,21,1100,189
5,141,141,11,28,1200,170
5,151,151,9,32,1500,147
5,186,186,10,47,1500,102
5,159,159,10,44,1400,103
5,152,181,8,38,1300,97
5,168,189,4,55,1400,35
5,200,200,3,47,1400,39
5,156,156,3,24,1100,86
5,38,38,3,10,300,86
5,8,8,2,7,200,90
5,13,13,3,8,200,87
5,9,40,2,8,300,77
5,16,16,2,18,300,52
5,3,5,2,17,300,61
5,33,33,3,20,300,58
5,16,16,3,8,200,79
5,16,16,3,13,300,77
5,19,19,3,11,300,82
5,21,21,2,7,200,91
5,7,16,2,9,200,90
5,9,39,2,9,200,93
5,5,5,2,8,100,99
5,17,17,2,10,200,100
5,10,16,3,13,200,98
5,10,36,2,18,300,89
5,26,52,2,30,400,66
5,11,77,2,47,500,34
5,22,126,3,63,800,2
5,31,118,3,60,800,2
5,40,46,5,56,1100,2
5,49,94,4,57,1300,2
5,39,39,3,57,900,2
5,27,27,2,58,500,2
5,34,42,2,50,500,2
5,17,41,2,47,400,2
5,23,39,2,31,300,19
5,26,64,3,31,400,21
5,28,47,3,31,400,32
5,34,77,3,52,600,31
5,28,28,4,45,500,66
5,27,29,4,14,200,107
5,24,43,6,15,300,120
5,43,63,12,17,400,132
5,43,47,15,17,500,135
5,56,66,17,16,600,154
5,53,53,16,19,700,144
5,35,35,8,19,300,134
5,27,38,4,20,300,122
5,31,40,5,22,400,113
5,31,40,5,33,400,91
5,46,54,5,44,500,70
5,46,51,6,47,500,58
5,47,58,6,49,500,51
5,52,60,6,44,500,53
5,54,101,7,25,400,74
5,38,57,4,19,400,88
5,18,69,2,9,300,125
5,18,27,2,9,300,117
5,18,18,2,11,300,113
5,23,23,2,19,400,97
5,34,40,2,25,400,81
5,26,40,2,27,500,74
5,33,33,2,29,600,68
5,37,37,2,26,600,77
5,31,31,2,28,600,68
5,46,46,2,26,600,73
5,33,33,2,25,600,74
5,42,42,2,22,600,76
5,42,42,2,24,600,72
5,41,41,2,27,600,65
5,42,42,2,29,600,65
